@relation creditRating
@attribute Time numeric
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute Amount numeric
@attribute Class {0,1}
@data
406,-2.31223E+13,1.95199E+14,-1.60985E+14,3.99791E+13,-0.522187865,-1.42655E+14,-2.53739E+14,1.39166E+14,-2.77009E+14,-2.77227E+14,3.20203E+14,-2.89991E+14,-0.595221881,-4.28925E+14,0.38972412,-1.14075E+14,-2.83006E+14,-0.016822468,0.416955705,0.126910559,0.517232371,-0.035049369,-0.465211076,0.320198199,0.044519167,0.177839798,0.261145003,-0.143275875,0,1
472,-3.04354E+13,-3.15731E+14,1.08846E+14,2.28864E+13,1.35981E+14,-1.06482E+14,0.325574266,-0.067793653,-0.270952836,-0.838586565,-0.414575448,-0.50314086,0.676501545,-1.69203E+14,2.00063E+14,0.666779696,0.599717414,1.72532E+14,0.28334483,2.10234E+14,0.661695925,0.435477209,1.37597E+14,-0.293803153,0.279798032,-0.145361715,-0.252773123,0.035764225,529,1
4462,-2.30335E+14,1.75925E+12,-0.359744743,2.33024E+14,-0.821628328,-0.075787571,0.562319782,-0.399146578,-0.238253368,-1.52541E+14,2.03291E+14,-6.56012E+14,0.022937323,-1.4701E+14,-0.698826069,-2.28219E+14,-4.78183E+14,-2.61566E+14,-1.33444E+14,-0.430021867,-0.294166318,-0.932391057,0.172726296,-0.087329538,-0.156114265,-0.542627889,0.039565989,-0.153028797,239.93,1
6986,-4.39797E+14,1.35837E+14,-2.59284E+13,2.67979E+14,-1.12813E+14,-1.70654E+14,-3.4962E+14,-0.248777743,-0.247767899,-4.80164E+14,4.89584E+14,-1.09128E+14,0.184371686,-6.7711E+14,-0.007326183,-7.35808E+14,-1.25984E+14,-5.13155E+14,0.308333946,-0.171607879,0.573574068,0.176967718,-0.436206884,-0.053501865,0.252405262,-0.657487755,-0.827135715,0.84957338,59,1
7519,1.23424E+14,3.01974E+13,-4.3046E+14,4.7328E+14,3.6242E+14,-1.35775E+14,1.71344E+14,-0.496358487,-1.28286E+14,-2.44747E+14,2.10134E+14,-4.60963E+13,1.46438E+14,-6.07934E+14,-0.339237373,2.58185E+14,6.73938E+14,3.04249E+14,-2.72185E+14,0.009060836,-0.379068307,-0.704181032,-0.656804756,-1.63265E+14,1.4889E+14,0.566797273,-0.010016223,0.146792735,1,1
7526,0.008430365,4.13784E+14,-6.2407E+14,6.67573E+13,0.768307025,-3.35306E+14,-1.63173E+14,0.154612448,-2.79589E+14,-6.18789E+14,5.66439E+14,-9.85448E+14,-0.306166658,-1.06912E+14,-0.638498193,-2.04197E+14,-1.12906E+14,0.116452521,-1.93467E+14,0.488378221,0.36451421,-0.608057134,-0.539527942,0.128939983,1.48848E+14,0.507962678,0.735821636,0.513573741,1,1
7535,0.026779226,4.13246E+14,-6.5606E+14,6.34856E+14,1.32967E+14,-2.51348E+14,-1.6891E+14,0.303252801,-3.13941E+14,-6.04547E+14,6.75463E+14,-8.94818E+14,0.702724998,-1.07339E+14,-1.37952E+14,-1.63896E+14,-1.74635E+14,0.776744098,-1.32736E+14,0.587743219,0.370508651,-0.576752473,-0.669605372,-0.75990753,1.60506E+14,0.540675396,0.737040382,0.496699108,1,1
7543,0.329594333,3.71289E+14,-5.77594E+14,6.07827E+14,1.66736E+14,-2.42017E+14,-0.812891249,0.133080118,-2.21431E+14,-5.13445E+14,4.56072E+14,-8.87375E+14,-0.7974836,-9.17717E+14,-0.257024775,-0.87168849,1.31301E+14,0.773913873,-2.3706E+14,0.269772776,0.156617169,-0.652450441,-0.551572219,-0.716521635,1.41572E+14,0.55526474,0.530507389,0.404474055,1,1
7551,0.316459,3.80908E+14,-5.61516E+14,6.04745E+14,1.55403E+14,-2.65135E+13,-0.746579273,0.055586311,-2.67868E+13,-4.95949E+14,6.43905E+14,-7.52012E+14,0.386351667,-9.25231E+14,-1.36519E+14,-0.502362191,0.784426598,1.4943E+14,-1.80801E+14,0.388307428,0.208828369,-0.511746619,-0.583813221,-0.219845029,1.47475E+14,0.491191926,0.518868285,0.402528068,1,1
7610,0.72564574,2.30089E+14,-5.32998E+14,4.00768E+12,-1.73041E+14,-1.73219E+14,-3.96859E+14,1.06373E+14,-0.486096552,-4.62498E+14,5.58872E+13,-7.14824E+14,1.68045E+14,-6.21026E+14,0.495282118,-3.59954E+13,-4.83032E+14,-0.64909012,2.25012E+13,0.504646226,0.589669127,0.109541319,0.601045277,-0.364700278,-1.84308E+14,0.351909298,0.594549978,0.099372236,1,1
